path,path_normalized,filename,file_modified_time,file_added_time,file_size,file_hash,sampleRate,nChannels,domain,product,offset,length,lengthMs,centroid,loudness,peak,druminess,lateTransient,coord_x,coord_y,coord_z,coord_w,category,star,unsupported,format
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/AKAI XE-8/MaxV - XE8 Ride int_14.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/AKAI XE-8/MaxV - XE8 Ride int_14.wav,MaxV - XE8 Ride int_14.wav,1223725314,1623679727,244502,bb4e203ab649d20e166b17198f45c4b3,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,122229,2771.63,0.720394,-4.35615,0.923096,0.806175,0.0,0.80159,0.71069,0.00541571,-0.0193245,Cymbal,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Alesis Hr16b/HR16B 034 Fast Cabasa.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Alesis Hr16b/HR16B 034 Fast Cabasa.wav,HR16B 034 Fast Cabasa.wav,1223725324,1623679729,12332,53776dcd132220e2a5efc705ca5ee649,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,6144,139.32,0.877149,-6.10296,0.857025,0.994436,0.0,0.856725,0.158278,0.0590273,0.0627696,HHC,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Alesis D4fx/MaxV - FX 2.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Alesis D4fx/MaxV - FX 2.wav,MaxV - FX 2.wav,1223725314,1623679727,51842,540b327a8d5b79741bdcfc35a8acdb13,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,25899,587.279,0.322097,-8.58147,0.999939,0.890763,0.0,0.446349,0.588017,0.113893,-0.0515216,Tom,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per27.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per27.wav,202per27.wav,1223725326,1623679729,17504,9b0436f0acba7bc039f4b78bd4fb255e,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,8730,197.959,0.485492,-9.30203,0.999817,0.312106,0.0,0.514689,0.550256,-0.0976157,-0.0165085,Perc,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per26.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per26.wav,202per26.wav,1223725326,1623679729,13658,fc1f0ab01c72e5c22502769da349b2e1,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,6807,154.354,0.598312,-7.2772,0.999969,0.0681613,0.0,0.547111,0.470182,-0.0941769,0.131255,Perc,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per25.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per25.wav,202per25.wav,1223725326,1623679729,17608,b46fc54bf878d652aee533daeebcb2ff,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,8782,199.138,0.779915,-8.54832,0.945709,0.89922,0.0,0.679039,0.431166,-0.0201511,0.0273075,Clap,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per24.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per24.wav,202per24.wav,1223725326,1623679729,15852,37d941e2f9e30b8249e78aaa0dcbe348,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,7904,179.229,0.820139,-9.08679,0.988525,0.523393,0.0,0.817806,0.190819,-0.00165329,0.0724107,HHC,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per23.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per23.wav,202per23.wav,1223725326,1623679729,4172,6d3c0e1314784efccb0e31bbe07c6de1,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,2064,46.8027,0.795883,-6.26981,1.0,0.2571,0.0,0.692927,0.0244527,0.022598,0.0506501,HHC,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/AKAI XE-8/MaxV - XE8 Ride ext_10.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/AKAI XE-8/MaxV - XE8 Ride ext_10.wav,MaxV - XE8 Ride ext_10.wav,1223725314,1623679727,289116,15cda883e5f1fa1fe33aea9a90fe96a8,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,144536,3277.46,0.769236,-2.59068,0.982483,0.844069,0.0,0.838093,0.710421,0.0406511,-0.0134917,Cymbal,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Alesis DM5/DM5Tom25_Mid.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Alesis DM5/DM5Tom25_Mid.wav,DM5Tom25_Mid.wav,1223725322,1623679729,79232,3c1d98d84cf8d31651eb02d0c227179c,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,39594,897.823,0.320139,-10.7131,0.999695,0.938549,0.0,0.440713,0.524222,-0.0733333,-0.0100393,Tom,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per22.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per22.wav,202per22.wav,1223725326,1623679729,8054,74c37643fdd1654321813b0a3a1f9b57,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,4005,90.8163,0.822689,-10.0079,1.0,0.957329,0.0,0.777827,0.216498,-0.0408953,0.0833189,HHC,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per21.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per21.wav,202per21.wav,1223725326,1623679729,20572,5e9ddbbb09df30ab13ad6edf6c2b2694,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,10264,232.744,0.78108,-11.1565,0.997986,0.986106,0.0,0.762057,0.31496,0.0736018,0.0313905,HHC,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per20.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per20.wav,202per20.wav,1223725326,1623679729,6070,541fa550a8699844719fa7b27cea164c,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,3013,68.322,0.807221,-6.80332,0.999969,0.95636,0.0,0.74385,0.187961,-0.0519598,0.104162,Perc,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per19.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per19.wav,202per19.wav,1223725326,1623679729,17024,357804c199797dedfb437e674febce49,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,8490,192.517,0.927181,-3.56107,0.91687,0.172133,0.0,0.957893,0.391414,0.079472,0.0176134,HHC,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per18.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per18.wav,202per18.wav,1223725326,1623679729,201194,72139a2c40821297542f59c29416cb1e,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,100575,2280.61,0.936552,-5.00937,0.87265,0.0549845,0.0,0.853847,0.741945,0.0366217,-0.0268509,Cymbal,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per17.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per17.wav,202per17.wav,1223725326,1623679729,27250,3e6ed0261048e19015a4a8943206ef72,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,13603,308.458,0.422417,-7.02409,1.0,0.981822,0.0,0.413732,0.460901,-0.00328865,-0.0376755,Snare,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per16.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per16.wav,202per16.wav,1223725326,1623679729,29860,7053bd0bf8f8e0e45331e46f0bfca174,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,14908,338.05,0.614596,-4.9772,0.999969,0.974226,0.0,0.552708,0.389722,-0.0510268,-0.0277596,Snare,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per15.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per15.wav,202per15.wav,1223725326,1623679729,19944,f7941fa42f5aeaadfcd5b0ac45bba07b,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,9950,225.624,0.927724,-7.55893,0.999969,0.803124,0.0,0.954511,0.421428,0.0666983,0.023269,Perc,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per14.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per14.wav,202per14.wav,1223725326,1623679729,20446,0e3a434880a4548db1535b0f5a2c0393,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,10201,231.315,0.92059,-6.43802,0.848816,0.822783,0.0,0.955691,0.417659,0.0616318,0.0275835,Perc,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per13.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per13.wav,202per13.wav,1223725326,1623679729,56530,fe9241ce4576c194760479ba2092458b,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,28243,640.431,0.207166,-6.19577,0.999969,0.979099,0.0,0.323936,0.619409,-0.0276358,-0.00598952,Kick,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per12.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per12.wav,202per12.wav,1223725326,1623679729,47178,1d13cc98d5e1f2bf8e4932ff8bf81a24,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,23567,534.399,0.244718,-5.55509,0.999969,0.964677,0.0,0.379449,0.577639,-0.0429457,-0.032317,Tom,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Alesis Hr16/MaxV - HR16 WOOD SNR 2.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Alesis Hr16/MaxV - HR16 WOOD SNR 2.wav,MaxV - HR16 WOOD SNR 2.wav,1223725324,1623679729,40490,f04dee2e3042e700e0484bfa4587df40,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,20223,458.571,0.582437,-5.91499,1.0,0.763267,0.0,0.414068,0.39847,0.0734552,-0.0131788,Snare,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per11.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per11.wav,202per11.wav,1223725326,1623679729,19192,5992f57e3ac1f6824b0a7680a608d5b2,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,9574,217.098,0.300933,-8.11798,0.997955,0.975284,0.0,0.329085,0.418851,-0.0412006,0.00321176,Kick,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per10.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per10.wav,202per10.wav,1223725326,1623679729,17712,5a05b87372f787c2ec14ad43c5fedd8c,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,8834,200.317,0.661522,-0.532094,0.999969,0.909346,0.0,0.852432,0.38887,-0.0259572,0.0124509,HHO,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per09.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per09.wav,202per09.wav,1223725326,1623679729,9284,200f5df5a7a76ae0c9dd9fbe26bb3081,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,4620,104.762,0.876728,-7.05351,1.0,0.987475,0.0,0.847675,0.154036,0.0451264,0.0614023,HHC,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per08.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per08.wav,202per08.wav,1223725326,1623679729,15352,4872bf0d19879d04ec46b08c948c22c7,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,7654,173.56,0.532401,-10.5383,1.0,0.933318,0.0,0.524672,0.196007,-0.0126159,0.0151109,Snare,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per07.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per07.wav,202per07.wav,1223725326,1623679729,21520,644759c33652cc6d302ff6fbfb4e5c89,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,10738,243.492,0.376721,-8.66959,0.970764,0.346039,0.0,0.357382,0.232997,-0.0546505,0.0366617,Perc,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per06.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per06.wav,202per06.wav,1223725326,1623679729,22220,22bfec15b77c810fcaf48dd909a82420,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,11088,251.429,0.471864,-10.4901,1.0,0.965147,0.0,0.357675,0.147781,-0.0325238,0.0346905,Perc,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per05.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per05.wav,202per05.wav,1223725326,1623679729,18326,987ec1eaba98edb0dbfb462a16715dde,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,9141,207.279,0.477937,-10.6115,1.0,0.948491,0.0,0.374013,0.188424,-0.0589564,0.0285477,Perc,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per04.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per04.wav,202per04.wav,1223725326,1623679729,12996,6308d9ddf604d62aa153f968096b8371,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,6476,146.848,0.537702,-15.4667,0.995728,0.936708,0.0,0.528677,0.147674,-0.0802678,0.0451254,Snare,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per03.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per03.wav,202per03.wav,1223725326,1623679729,13722,f24f4d4360fcaa6352ebcf9e524e7a93,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,6839,155.079,0.414492,-14.0043,1.0,0.956564,0.0,0.37072,0.175015,-0.0176114,0.0409521,Perc,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per02.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per02.wav,202per02.wav,1223725326,1623679729,12652,def79d9dac0abc2170e8d53aff57dad5,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,6304,142.948,0.672963,-8.5058,0.961273,0.826799,0.0,0.622834,0.0839463,0.0632142,-0.00467041,Snare,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per01.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per01.wav,202per01.wav,1223725326,1623679729,23958,58a33583487d6c5ff24c81683d846056,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,11957,271.134,0.622443,-7.54478,0.999969,0.951358,0.0,0.620825,0.593813,-0.0950335,0.103888,Perc,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202kik31.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202kik31.wav,202kik31.wav,1223725326,1623679729,34898,521c8e11dc18e199efbb0c2a427d0762,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,17427,395.17,0.124404,-7.3572,0.999969,0.990707,0.0,0.153965,0.581673,-0.0292397,-0.000847921,Kick,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202kik30.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202kik30.wav,202kik30.wav,1223725326,1623679729,20296,5c8f5412f76c9ec47c3c5cf4ca6cf7f9,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,10126,229.615,0.156434,-7.57885,0.999969,0.98887,0.0,0.222439,0.39631,-0.0420093,0.02837,Kick,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Alesis D4fx/MaxV - Zap 2.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Alesis D4fx/MaxV - Zap 2.wav,MaxV - Zap 2.wav,1223725314,1623679727,12104,b1042d857e194a58562adbc742faafb8,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,320,6030,136.735,0.667254,-7.63725,0.986938,0.685903,0.0,0.551903,0.243743,-0.0221739,-0.0250903,Snare,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202kik29.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202kik29.wav,202kik29.wav,1223725326,1623679729,34764,045d6b7f5db24ba283ea3db16c50f49e,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,17360,393.651,0.125323,-8.0445,0.999969,0.99165,0.0,0.134112,0.475182,-0.0437008,0.038812,Kick,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Alesis DM5/DM5Tom14_M.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Alesis DM5/DM5Tom14_M.wav,DM5Tom14_M.wav,1223725322,1623679728,62300,8e70fd1c211988ce62d11bb2aa053d97,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,31128,705.85,0.314706,-8.14989,0.999969,0.546726,0.0,0.417631,0.491178,-0.0785259,0.0645913,Tom,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202kik28.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202kik28.wav,202kik28.wav,1223725326,1623679729,16534,ca1ce200902ddcf577a90061244192ae,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,8245,186.961,0.196758,-6.25925,0.999756,0.914666,0.0,0.257833,0.383541,-0.0170697,0.125081,Kick,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202kik27.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202kik27.wav,202kik27.wav,1223725326,1623679729,26776,8c601d1744216ee9c1b2b39eab7b6076,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,13366,303.084,0.624043,-7.48298,0.941864,0.991248,0.0,0.262106,0.419708,0.0116578,-0.000145921,Kick,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Acetone Rhythm Ace/MaxV - PERC03.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Acetone Rhythm Ace/MaxV - PERC03.wav,MaxV - PERC03.wav,1223725312,1623679727,4226,f6e86753c7931b39405375efe0cb542a,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,2091,47.415,0.816219,-5.61562,0.999969,0.993219,0.0,0.814188,0.0985307,0.0147141,0.0665976,HHC,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202kik26.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202kik26.wav,202kik26.wav,1223725326,1623679729,54740,d4e8d4e236ea73e27851224204e2d6d7,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,27348,620.136,0.308869,-4.29477,0.99646,0.416828,0.0,0.401616,0.679513,-0.0190886,-0.0123767,Perc,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202kik25.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202kik25.wav,202kik25.wav,1223725326,1623679729,26266,12709d3b6137955f27636f3991d0dd5c,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,13111,297.302,0.15327,-9.64454,0.999969,0.978881,0.0,0.170289,0.474509,-0.00966647,-0.0282367,Kick,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202kik24.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202kik24.wav,202kik24.wav,1223725326,1623679729,13734,18a4e35b2763a0880b2fd6b1398992f2,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,6845,155.215,0.315778,-5.7996,1.0,0.989603,0.0,0.266603,0.374262,-0.00108208,0.030768,Kick,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202kik23.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202kik23.wav,202kik23.wav,1223725326,1623679729,32360,200ef6ec24603b5caa226e0f6841a915,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,16158,366.395,0.164586,-6.68483,0.999939,0.993414,0.0,0.196871,0.575859,-0.0643796,-0.00700158,Kick,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202kik22.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202kik22.wav,202kik22.wav,1223725326,1623679729,19456,96dde338177840fd2b16ed87509a6af8,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,9706,220.091,0.222231,-8.47715,1.0,0.993368,0.0,0.233503,0.378315,-0.0222516,-0.0369765,Kick,0,,wav
